,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[5, 2]",0.0,0.001,0.0,0.0,0.0,0.0,12.0,20.0,1.25
"p[5, 3]",0.01,0.034,0.0,0.048,0.002,0.001,52.0,309.0,1.09
"p[5, 4]",0.001,0.004,0.0,0.001,0.0,0.0,109.0,248.0,1.06
"p[5, 5]",0.003,0.013,0.0,0.007,0.001,0.0,84.0,161.0,1.05
"p[5, 6]",0.002,0.028,0.0,0.0,0.001,0.001,28.0,53.0,1.13
"p[5, 7]",0.004,0.028,0.0,0.003,0.001,0.001,36.0,63.0,1.09
"p[5, 8]",0.975,0.064,0.875,1.0,0.003,0.003,55.0,293.0,1.07
"p[5, 9]",0.002,0.013,0.0,0.003,0.001,0.0,24.0,207.0,1.14
"p[6, 0]",0.527,0.323,0.027,0.997,0.021,0.015,210.0,340.0,1.02
"p[6, 1]",0.008,0.042,0.0,0.025,0.003,0.002,43.0,36.0,1.07
"p[6, 2]",0.102,0.181,0.0,0.517,0.013,0.009,82.0,49.0,1.02
"p[6, 3]",0.252,0.302,0.0,0.876,0.031,0.022,39.0,204.0,1.08
"p[6, 4]",0.006,0.033,0.0,0.01,0.002,0.001,10.0,55.0,1.32
"p[6, 5]",0.065,0.151,0.0,0.385,0.01,0.007,115.0,147.0,1.03
"p[6, 6]",0.022,0.096,0.0,0.075,0.006,0.004,10.0,35.0,1.35
"p[6, 7]",0.007,0.045,0.0,0.009,0.003,0.002,52.0,166.0,1.05
"p[6, 8]",0.006,0.041,0.0,0.008,0.002,0.002,27.0,61.0,1.11
"p[6, 9]",0.005,0.034,0.0,0.006,0.001,0.001,103.0,161.0,1.04
"p[7, 0]",0.669,0.221,0.267,0.997,0.017,0.012,149.0,356.0,1.03
"p[7, 1]",0.001,0.006,0.0,0.001,0.0,0.0,31.0,197.0,1.1
"p[7, 2]",0.009,0.029,0.0,0.032,0.002,0.001,64.0,337.0,1.06
"p[7, 3]",0.001,0.006,0.0,0.003,0.0,0.0,18.0,32.0,1.15
"p[7, 4]",0.249,0.202,0.0,0.637,0.023,0.017,46.0,74.0,1.07
"p[7, 5]",0.006,0.034,0.0,0.012,0.004,0.003,6.0,32.0,1.98
"p[7, 6]",0.059,0.095,0.0,0.239,0.008,0.006,73.0,159.0,1.02
"p[7, 7]",0.005,0.023,0.0,0.018,0.001,0.001,16.0,56.0,1.18
"p[7, 8]",0.001,0.005,0.0,0.002,0.0,0.0,52.0,239.0,1.07
"p[7, 9]",0.001,0.008,0.0,0.002,0.0,0.0,38.0,235.0,1.09
"p[8, 0]",0.203,0.214,0.0,0.626,0.039,0.028,18.0,32.0,1.17
"p[8, 1]",0.005,0.032,0.0,0.011,0.001,0.001,27.0,65.0,1.1
"p[8, 2]",0.01,0.045,0.0,0.037,0.002,0.002,36.0,108.0,1.09
"p[8, 3]",0.001,0.008,0.0,0.001,0.001,0.0,8.0,18.0,1.51
"p[8, 4]",0.003,0.017,0.0,0.009,0.002,0.001,16.0,32.0,1.18
"p[8, 5]",0.512,0.258,0.079,0.935,0.014,0.01,328.0,508.0,1.02
"p[8, 6]",0.08,0.139,0.0,0.36,0.01,0.007,80.0,97.0,1.05
"p[8, 7]",0.168,0.207,0.0,0.593,0.01,0.007,266.0,484.0,1.02
"p[8, 8]",0.011,0.06,0.0,0.026,0.003,0.002,50.0,224.0,1.08
"p[8, 9]",0.007,0.04,0.0,0.021,0.002,0.001,54.0,201.0,1.06
"p[9, 0]",0.002,0.027,0.0,0.001,0.001,0.001,15.0,24.0,1.2
"p[9, 1]",0.006,0.03,0.0,0.024,0.001,0.001,12.0,80.0,1.25
"p[9, 2]",0.0,0.003,0.0,0.0,0.0,0.0,14.0,52.0,1.21
