,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[18, 3]",0.92,0.061,0.809,0.998,0.002,0.001,1184.0,1996.0,1.01
"p[18, 4]",0.002,0.011,0.0,0.009,0.0,0.0,108.0,316.0,1.04
"p[18, 5]",0.002,0.009,0.0,0.004,0.0,0.0,37.0,446.0,1.08
"p[18, 6]",0.002,0.009,0.0,0.004,0.0,0.0,47.0,207.0,1.07
"p[18, 7]",0.001,0.008,0.0,0.003,0.0,0.0,26.0,296.0,1.11
"p[18, 8]",0.022,0.03,0.0,0.075,0.001,0.001,339.0,726.0,1.02
"p[18, 9]",0.043,0.042,0.0,0.12,0.001,0.001,736.0,1260.0,1.02
"p[18, 10]",0.002,0.011,0.0,0.005,0.0,0.0,96.0,405.0,1.05
"p[19, 0]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,1.62
"p[19, 1]",0.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,1.24
"p[19, 2]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,133.0,1.16
"p[19, 3]",0.017,0.027,0.0,0.061,0.001,0.001,285.0,722.0,1.02
"p[19, 4]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,1.42
"p[19, 5]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,58.0,1.17
"p[19, 6]",0.0,0.002,0.0,0.0,0.0,0.0,9.0,18.0,1.41
"p[19, 7]",0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,1.7
"p[19, 8]",0.278,0.16,0.028,0.572,0.007,0.005,566.0,1379.0,1.01
"p[19, 9]",0.704,0.163,0.408,0.965,0.007,0.005,596.0,1243.0,1.01
"p[19, 10]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,185.0,1.18
"p[20, 0]",0.999,0.005,0.995,1.0,0.0,0.0,31.0,521.0,1.1
"p[20, 1]",0.0,0.003,0.0,0.0,0.0,0.0,19.0,150.0,1.18
"p[20, 2]",0.0,0.002,0.0,0.0,0.0,0.0,10.0,42.0,1.34
"p[20, 3]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,48.0,1.57
"p[20, 4]",0.0,0.002,0.0,0.0,0.0,0.0,7.0,18.0,1.51
"p[20, 5]",0.0,0.003,0.0,0.0,0.0,0.0,9.0,33.0,1.39
"p[20, 6]",0.0,0.001,0.0,0.0,0.0,0.0,16.0,108.0,1.18
"p[20, 7]",0.0,0.002,0.0,0.0,0.0,0.0,9.0,14.0,1.38
"p[20, 8]",0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,1.74
"p[20, 9]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,1.48
"p[20, 10]",0.0,0.001,0.0,0.0,0.0,0.0,9.0,103.0,1.42
"p[21, 0]",0.0,0.0,0.0,0.0,0.0,0.0,10.0,53.0,1.31
"p[21, 1]",0.0,0.003,0.0,0.0,0.0,0.0,28.0,310.0,1.12
"p[21, 2]",0.0,0.004,0.0,0.0,0.0,0.0,49.0,160.0,1.06
"p[21, 3]",0.031,0.042,0.0,0.102,0.001,0.001,436.0,1221.0,1.01
"p[21, 4]",0.0,0.004,0.0,0.0,0.0,0.0,12.0,70.0,1.26
"p[21, 5]",0.0,0.003,0.0,0.0,0.0,0.0,32.0,157.0,1.09
"p[21, 6]",0.0,0.006,0.0,0.0,0.0,0.0,14.0,35.0,1.21
"p[21, 7]",0.0,0.005,0.0,0.0,0.0,0.0,7.0,82.0,1.5
"p[21, 8]",0.038,0.048,0.0,0.124,0.003,0.002,174.0,1110.0,1.03
"p[21, 9]",0.929,0.064,0.813,0.999,0.003,0.002,436.0,1724.0,1.01
"p[21, 10]",0.0,0.004,0.0,0.0,0.0,0.0,38.0,416.0,1.09
"p[22, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,39.0,1.44
"p[22, 1]",0.0,0.0,0.0,0.0,0.0,0.0,23.0,105.0,1.13
"p[22, 2]",0.0,0.001,0.0,0.0,0.0,0.0,22.0,173.0,1.13
